t,mode,err_norm,tau_norm,tau_smoothness_step,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,q4,qd4,tau4,q5,qd5,tau5,q6,qd6,tau6,q7,qd7,tau7
0.0,pd_gc_torque_clipped,3.3246644747460025e-05,12.040528693794663,0.0,-1.7500967795612428e-08,-8.750483897806213e-06,0.0,-0.7000090211935581,-0.004510596779106084,-6.188191757487909,-3.191143068944521e-07,-0.00015955715344722604,-0.5866908431074782,-2.2000313002955263,-0.015650147763142462,10.0,1.1112040882747244e-06,0.0005556020441373622,0.6322073211695401,1.6000065504452938,0.0032752226468450007,2.4365367923063985,0.7999999391277494,-3.0436125366887476e-05,-0.003196257500585149
0.002,pd_gc_torque_clipped,8.049893585617768e-05,12.004136976262872,0.06622931248058354,-1.3001927476733039e-08,2.249520159439694e-06,0.000123906851992936,-0.7000193414573966,-0.005160131919281871,-6.124184747806352,-6.187062053487636e-07,-0.0001497959492271557,-0.5847555378829963,-2.200077248780145,-0.022974242309468124,10.0,1.967702733414132e-06,0.0004282493225697038,0.628843358054293,1.6000115907207264,0.0025201377162755757,2.4199738126956554,0.799999885814045,-2.6656852148596793e-05,-0.003072796456813383
0.004,pd_gc_torque_clipped,0.00013475463655541271,11.999797344211107,0.010679612181231077,4.6182566760985164e-09,8.810092076415777e-06,-3.045312803401707e-05,-0.7000284856401716,-0.004572091387516013,-6.114160870560838,-8.325618056182397e-07,-0.00010692780013473809,-0.5848544125231036,-2.2001308462506577,-0.02679873525624715,10.0,2.5274946648710625e-06,0.00027989596572846524,0.6295849449665756,1.6000148167234938,0.0016130013836776636,2.423578292670815,0.7999998504633631,-1.767534095619252e-05,-0.0030858758559194153
0.006,pd_gc_torque_clipped,0.00019297052535676446,12.004567253080484,0.008731897972630798,2.89292549264277e-08,1.2155499125164591e-05,-0.00012371074960390875,-0.7000358791633188,-0.0036967615736035633,-6.121637792545182,-9.682935306513833e-07,-6.78658625165718e-05,-0.5853569800209487,-2.2001888303744366,-0.02899206188936791,10.0,2.8928164208459965e-06,0.00018266087798746693,0.6304612984462924,1.6000168541610147,0.001018718760436653,2.427972750950728,0.799999828458162,-1.1002600567657516e-05,-0.0031197841924171174
0.008,pd_gc_torque_clipped,0.0002536509118090669,12.011178577765659,0.012086915198770285,5.592516812849014e-08,1.3497956601031221e-05,-0.0001724913281464185,-0.7000416080550181,-0.002864445849689093,-6.1333607673640795,-1.0474017403471282e-06,-3.95541048478724e-05,-0.5858193174874634,-2.20024953167175,-0.030350648656712748,10.0,3.1392021507181322e-06,0.00012319286493606786,0.6310366835163599,1.6000181799468502,0.0006628929178068633,2.4308218853051478,0.7999998145890357,-6.934563151245255e-06,-0.0031444902965882975
0.01,pd_gc_torque_clipped,0.00031597941372956773,12.017338507533292,0.011458856522067027,8.284790022280567e-08,1.3461366047157768e-05,-0.0001934454058647163,-0.7000459494242474,-0.0021706846146201803,-6.144687180988079,-1.089240601102042e-06,-2.091943037745686e-05,-0.5861563455329972,-2.200312018609342,-0.031243468795989243,10.0,3.310957289591614e-06,8.58775694367409e-05,0.6313889975053923,1.6000190744372673,0.00044724520855910155,2.4324890358576443,0.7999998054940103,-4.547512721464895e-06,-0.003158777458339783
0.012,pd_gc_torque_clipped,0.0003794657656156866,12.022446469555508,0.009610083630914944,1.0790445429237673e-07,1.2528277034785533e-05,-0.0001950869566780332,-0.7000491985976373,-0.00162458669494678,-6.15424283193444,-1.108021342680401e-06,-9.390370789179476e-06,-0.5863794796438585,-2.200375729629639,-0.031855510148706453,10.0,3.4336260463203503e-06,6.1334378364368e-05,0.63161062779758,1.6000196962240683,0.0003108934004675499,2.4334607734603058,0.7999997992733996,-3.110305334747812e-06,-0.0031663209005475096
0.014,pd_gc_torque_clipped,0.0004437911693132205,12.026480641290338,0.007645063684684642,1.301133216851849e-07,1.110443369640408e-05,-0.0001840282348303876,-0.7000516124365929,-0.0012069194777838503,-6.161863309367601,-1.1133247666244725e-06,-2.651711972035834e-06,-0.5865185611965018,-2.2004403039045117,-0.0322871374362044,10.0,3.5225919936799727e-06,4.448297367981119e-05,0.6317571046942663,1.6000201375983885,0.00022068716009546166,2.434039035640739,0.7999997948744212,-2.199489202155186e-06,-0.0031700396872903452
0.016,pd_gc_torque_clipped,0.0005087359278149795,12.029596475050507,0.005934860835412863,1.4910297130687277e-07,9.494824810843934e-06,-0.00016587113748447194,-0.7000533972341162,-0.0008923987616471351,-6.167786418880815,-1.1112874110406642e-06,1.0186777919041692e-06,-0.586600726052699,-2.2005054981664425,-0.03259713096546939,10.0,3.5876770677609175e-06,3.2542537040472424e-05,0.6318584527237157,1.6000204551057706,0.00015875369109211661,2.4343883093679843,0.7999997916931426,-1.5906392962653355e-06,-0.0031716292782650425
0.018000000000000002,pd_gc_torque_clipped,0.0005741428150090919,12.031980697257355,0.004560335580348126,1.6490359131297733e-07,7.900310003052275e-06,-0.0001448557850563649,-0.7000547124339375,-0.0006575999106543778,-6.172341108954479,-1.1056806691973798e-06,2.8033709216421717e-06,-0.5866462546325288,-2.20057114282795,-0.032822330753834054,10.0,3.635490017001388e-06,2.3906474620235208e-05,0.6319310623068022,1.6000206852798302,0.00011508702979973219,2.4345972882159463,0.7999997893617672,-1.1656877138966952e-06,-0.0031719914768011757
0.02,pd_gc_torque_clipped,0.0006398967541300646,12.03380182281582,0.0034975072898833183,1.7777522002338265e-07,6.43581435520266e-06,-0.00012379662734777002,-0.7000556788005945,-0.00048318332851744956,-6.175836068866995,-1.0987247148538893e-06,3.477977171745233e-06,-0.5866691243910598,-2.2006371170463193,-0.03298710918467783,10.0,3.6706547998291287e-06,1.758239141387027e-05,0.6319843733347738,1.6000208527887205,8.375444516482092e-05,2.4347156255388938,0.7999997876415987,-8.60084213314598e-07,-0.003171602882654204
0.022,pd_gc_torque_clipped,0.0007059124506781946,12.035197417854974,0.0026924247707054336,1.8808515617304684e-07,5.15496807483209e-06,-0.00010432341857470786,-0.7000563867845334,-0.00035399196946218274,-6.178527505691228,-1.0916562136496723e-06,3.5342506021084862e-06,-0.5866785364512483,-2.200703333518422,-0.03310823605147969,10.0,3.6964916578655447e-06,1.2918429018208e-05,0.6320241995698597,1.6000209748334622,6.102237079707126e-05,2.4347727593765938,0.7999997863692333,-6.361827099581901e-07,-0.0031707254311198673
0.024,pd_gc_torque_clipped,0.0007721262538948519,12.036274698924402,0.0020895710885258535,1.9622950328935972e-07,4.072173558156437e-06,-8.721636554149302e-05,-0.7000569037027321,-0.0002584590993540045,-6.180616738062841,-1.0851074032943247e-06,3.274405177673739e-06,-0.586680349568251,-2.200769728637896,-0.03319755973686988,10.0,3.715422924002809e-06,9.465633068632095e-06,0.6320543506690309,1.6000210636701355,4.441833668031742e-05,2.4347872138974966,0.7999997854284595,-4.7038689512780243e-07,-0.003169512666749518
0.026000000000000002,pd_gc_torque_clipped,0.0008384904919741136,12.03711524612647,0.0016411778305683185,2.0258789129172054e-07,3.179194001180417e-06,-7.27087900773389e-05,-0.7000572794724995,-0.00018788488371796743,-6.182257609580402,-1.0793516915244703e-06,2.8778558849272614e-06,-0.5866781840563533,-2.200836255827356,-0.03326359472998141,10.0,3.7292321930227268e-06,6.90463450995891e-06,0.6320774459992256,1.600021128152327,3.224109579493099e-05,2.4347712553807868,0.7999997847345971,-3.469311842174616e-07,-0.0031680612243795646
0.028,pd_gc_torque_clipped,0.0009049693876532343,12.037780320348023,0.0013090459338911714,2.0750066719174516e-07,2.456387950012311e-06,-6.071574731986348e-05,-0.700057551030341,-0.0001357789207270777,-6.183565921349176,-1.074458809492077e-06,2.446441016196647e-06,-0.5866742053830536,-2.200902880876037,-0.03331252434066775,10.0,3.739239385103788e-06,5.0035960405305356e-06,0.6320953468346161,1.6000211747300959,2.328888435755744e-05,2.434733323494207,0.7999997842250635,-2.547668323685523e-07,-0.0031664358379944225
