t,mode,err_norm,tau_norm,tau_smoothness_step,q1,qd1,tau1,q2,qd2,tau2,q3,qd3,tau3,q4,qd4,tau4,q5,qd5,tau5,q6,qd6,tau6,q7,qd7,tau7
0.0,pd_gc_low_gain,3.636759828731859e-12,22.74721268125129,0.0,1.5424078575759993e-12,7.712039287879996e-10,0.0,-0.6999999999999423,2.8796736914133858e-11,-6.188191757487909,1.722676169366781e-12,8.613380846833905e-10,-0.5866908431074782,-2.199999999999997,1.6050384504946408e-12,21.736176148071376,2.8059038767140384e-12,1.402951938357019e-09,0.6322073211695401,1.6000000000000392,1.9553276041616927e-11,2.4365367923063985,0.8000000000000379,1.893842997961711e-11,-0.003196257500585149
0.002,pd_gc_low_gain,5.610870974442479e-12,22.74721268130517,8.70529136573003e-09,2.5127146816202108e-12,4.851534120221058e-10,-5.460123815819037e-09,-0.6999999999999177,1.2301420054698621e-11,-6.188191757691032,3.222382319169914e-12,7.498530749015665e-10,-0.5866908483023193,-2.1999999999999846,6.1256305132314635e-12,21.736176148061983,3.843601961012672e-12,5.188490421493169e-10,0.6322073168179342,1.6000000000000525,6.66694201333859e-12,2.436536792255519,0.8000000000000369,-5.210754648396434e-13,-0.0031962575491730383
0.004,pd_gc_low_gain,6.509212289559848e-12,22.74721268130645,3.268930052943722e-09,2.9854141890451777e-12,2.3634975371248336e-10,-3.496582471419549e-09,-0.6999999999999184,-3.077124274138135e-13,-6.188191757574662,4.188347923558433e-12,4.829828021942595e-10,-0.5866908476414776,-2.1999999999999797,2.532815798525571e-12,21.736176148037426,3.9879943161523844e-12,7.219617756985602e-11,0.6322073193433756,1.6000000000000558,1.6214219867353011e-12,2.4365367922859544,0.8000000000000247,-6.097862030508675e-12,-0.0031962575213942968
0.006,pd_gc_low_gain,6.467387929343026e-12,22.747212681291106,2.666941755891624e-09,2.9982940311301794e-12,6.439921042500804e-12,-1.7738648435491906e-09,-0.6999999999999359,-8.761333908866594e-12,-6.188191757484129,4.51543128587135e-12,1.635416811564585e-10,-0.5866908460241095,-2.199999999999981,-5.566100974606384e-13,21.73617614805369,3.5271916678804583e-12,-2.3040132413596312e-10,0.6322073205764038,1.600000000000051,-2.4389620205867615e-12,2.436536792297024,0.8000000000000093,-7.691997541222589e-12,-0.0031962575205310147
0.008,pd_gc_low_gain,6.120567375526612e-12,22.747212681261455,2.6644693893326733e-09,2.8422107585027376e-12,-7.804163631372085e-11,-1.650112085427128e-10,-0.6999999999999547,-9.403373607964709e-12,-6.188191757422208,4.4765479351286315e-12,-1.944167537135912e-11,-0.5866908440700382,-2.1999999999999855,-2.117424757031463e-12,21.73617614806789,3.056040420930919e-12,-2.3557562347476956e-10,0.6322073214061328,1.6000000000000454,-2.7620661536539726e-12,2.436536792306029,0.7999999999999997,-4.764628859781435e-12,-0.0031962575255909563
0.01,pd_gc_low_gain,5.544145408933389e-12,22.74721268123521,1.2933978533219175e-09,2.5716645985115004e-12,-1.352730799956186e-10,4.3260302385593644e-10,-0.699999999999972,-8.646364703699737e-12,-6.188191757415346,4.189218828307506e-12,-1.4366455341056276e-10,-0.5866908429241239,-2.1999999999999895,-1.9785232310135968e-12,21.736176148074737,2.5636113482399408e-12,-2.462145363454891e-10,0.6322073213575798,1.6000000000000387,-3.299092053700027e-12,2.436536792305889,0.7999999999999935,-3.133130264570686e-12,-0.0031962575384028146
0.012,pd_gc_low_gain,4.865089203108877e-12,22.747212681213725,8.978189041254677e-10,2.251276750394964e-12,-1.6019392405826814e-10,8.440449760288701e-10,-0.6999999999999861,-7.025583710388153e-12,-6.188191757418743,3.764429542281591e-12,-2.1239464301295758e-10,-0.5866908421263943,-2.1999999999999926,-1.5229429672135826e-12,21.736176148073273,2.10440678021185e-12,-2.2960228401404539e-10,0.632207321339453,1.6000000000000323,-3.2512071903577e-12,2.4365367923064944,0.7999999999999899,-1.7616713273202344e-12,-0.003196257547304763
0.014,pd_gc_low_gain,4.172326427661851e-12,22.747212681199155,5.087345278114009e-10,1.925195717773257e-12,-1.6304051631085365e-10,1.0313063983920783e-09,-0.6999999999999964,-5.183641399363278e-12,-6.188191757428688,3.2853318843602494e-12,-2.3954882896067085e-10,-0.5866908416619153,-2.199999999999995,-1.031165131580973e-12,21.736176148070385,1.7051836110442678e-12,-1.9961158458379097e-10,0.6322073212508923,1.6000000000000265,-2.9089521729172494e-12,2.4365367923057977,0.7999999999999885,-7.269169465080421e-13,-0.003196257554549099
0.016,pd_gc_low_gain,3.5176537170715374e-12,22.747212681190632,2.45915698825615e-10,1.6184935179283682e-12,-1.5335109992244435e-10,1.0642757854650454e-09,-0.7000000000000034,-3.5125269254628815e-12,-6.188191757440633,2.8061363018591073e-12,-2.3959779125057095e-10,-0.5866908414502212,-2.199999999999996,-6.254514258090236e-13,21.73617614806741,1.370889436910847e-12,-1.6714708706671043e-10,0.6322073211309418,1.6000000000000216,-2.478122866646722e-12,2.4365367923044916,0.7999999999999884,-4.465379538458895e-14,-0.0031962575601901916
0.018000000000000002,pd_gc_low_gain,2.927223542612778e-12,22.747212681186706,1.4048974218209775e-10,1.3433027391860648e-12,-1.3759538937115174e-10,1.0087179587399756e-09,-0.7000000000000077,-2.169118947635644e-12,-6.188191757451738,2.3582226779262075e-12,-2.239568119664499e-10,-0.5866908414061185,-2.199999999999997,-3.469146175584963e-13,21.736176148065002,1.0965685788942763e-12,-1.3716042900828538e-10,0.6322073210102898,1.6000000000000176,-2.0537554517511665e-12,2.436536792303064,0.799999999999989,3.548642063903414e-13,-0.0031962575643795714
